account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1450910671616067,9/22/2016,link,mixture of true and false,,1222,2516,676
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1451200324920435,9/22/2016,link,mixture of true and false,,,1265,577
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1451262981580836,9/23/2016,link,mixture of true and false,yes,2426,5873,1021
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1454907001216434,9/26/2016,link,mixture of true and false,,298,1475,279
1.46E+14,1.46E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1456140261093108,9/27/2016,link,mixture of true and false,yes,2283,3391,373
1.46E+14,1.46E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1456154251091709,9/27/2016,link,mixture of true and false,yes,864,2948,233
1.46E+14,1.46E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1456218721085262,9/27/2016,link,mixture of true and false,yes,818,3528,402
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245723568854028,9/19/2016,link,mixture of true and false,,2007,8342,720
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245754342184284,9/19/2016,link,mixture of true and false,,5207,10719,3695
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245766898849695,9/19/2016,link,mixture of true and false,,33482,19552,1741
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245894178836967,9/19/2016,photo,mixture of true and false,,46108,31113,2988
